,state,status,latlon,lat,lon
293,AZ,2,"(31.4481481, -109.9284025)",31.4481481,-109.9284025
292,AZ,1,"(36.3664099, -94.2222662)",36.3664099,-94.2222662
291,AZ,9,"(31.9678731, -110.294576)",31.9678731,-110.294576
290,AZ,1,"(32.6743005, -114.1308625)",32.6743005,-114.1308625
289,AZ,4,"(34.57774, -113.174284457576)",34.57774,-113.174284458
288,AZ,8,"(33.4359175, -112.3405021)",33.4359175,-112.3405021
287,AZ,8,"(33.4150484, -111.5495439)",33.4150484,-111.5495439
286,AZ,74,"(32.3933515, -112.902723029703)",32.3933515,-112.90272303
285,AZ,2,"(33.943591, -113.1704027)",33.943591,-113.1704027
344,AZ,5,"(36.9148305, -111.4572942)",36.9148305,-111.4572942
312,AZ,12,"(35.7531285, -109.069209417053)",35.7531285,-109.069209417
313,AZ,2,"(35.0093971, -114.6082777)",35.0093971,-114.6082777
296,AZ,18,"(32.8793816, -111.7575614)",32.8793816,-111.7575614
315,AZ,15,"(35.7531285, -109.069209417053)",35.7531285,-109.069209417
342,AZ,67,"(31.3402134, -110.9360818)",31.3402134,-110.9360818
314,AZ,4,"(33.6117105, -111.7173613)",33.6117105,-111.7173613
341,AZ,2,"(33.0512895, -109.3259809)",33.0512895,-109.3259809
340,AZ,7,"(34.933062, -114.5888541)",34.933062,-114.5888541
339,AZ,9,"(33.3994776, -110.87095)",33.3994776,-110.87095
338,AZ,261,"(34.2700153, -114.0824451)",34.2700153,-114.0824451
337,AZ,3,"(34.4263875, -112.236723242706)",34.4263875,-112.236723243
336,AZ,4,"(33.34883, -112.49123)",33.34883,-112.49123
334,AZ,1,"(34.14391585, -118.761143806617)",34.14391585,-118.761143807
333,AZ,15,"(34.8087909, -92.4887035)",34.8087909,-92.4887035
332,AZ,3,"(33.5039912, -112.327855512131)",33.5039912,-112.327855512
331,AZ,2,"(36.0797025, -115.1597981)",36.0797025,-115.1597981
330,AZ,9,"(34.4742786, -114.344001)",34.4742786,-114.344001
329,AZ,20,"(35.189443, -114.0530065)",35.189443,-114.0530065
335,AZ,32,"(32.4446988, -111.2157091)",32.4446988,-111.2157091
327,AZ,1,"(35.816717, -110.162237159084)",35.816717,-110.162237159
317,AZ,17,"(32.9478267, -112.7168239)",32.9478267,-112.7168239
328,AZ,2,"(33.0570085, -110.9106656)",33.0570085,-110.9106656
318,AZ,106,"(33.3528259, -111.7890239)",33.3528259,-111.7890239
319,AZ,1168,"(33.5389854, -112.1858157)",33.5389854,-112.1858157
320,AZ,8,"(33.3959511, -110.787177)",33.3959511,-110.787177
316,AZ,11,"(35.6992764, -109.549821948208)",35.6992764,-109.549821948
322,AZ,22,"(33.5844166, -112.20329935)",33.5844166,-112.20329935
321,AZ,2,"(35.2216745, -114.217554308099)",35.2216745,-114.217554308
324,AZ,3,"(31.8484548, -111.026594507317)",31.8484548,-111.026594507
325,AZ,1,"(31.4384325, -110.0978554)",31.4384325,-110.0978554
326,AZ,3,"(34.9037063, -110.1593164)",34.9037063,-110.1593164
323,AZ,1,"(36.0965604, -112.0984941)",36.0965604,-112.0984941
689,CA,3,"(40.5226346, -105.0609142)",40.5226346,-105.0609142
688,CA,2,"(39.4534731, -123.81491141575)",39.4534731,-123.814911416
690,CA,3732,"(37.5600336, -122.2688522)",37.5600336,-122.2688522
691,CA,161,"(33.7038145, -117.9627349)",33.7038145,-117.9627349
692,CA,3,"(36.6305058, -119.6784697)",36.6305058,-119.6784697
687,CA,1,"(36.0163924, -115.049843001851)",36.0163924,-115.049843002
693,CA,50,"(38.5672325, -121.7292065)",38.5672325,-121.7292065
698,CA,1,"(37.5482697, -121.9885719)",37.5482697,-121.9885719
695,CA,1,"(37.5482697, -121.9885719)",37.5482697,-121.9885719
697,CA,24113,"(37.5482697, -121.9885719)",37.5482697,-121.9885719
